question,answer,question_ids,answer_ids
. Parkinson notes a common objection to Kant,'s,"[25, 37001, 5948, 241, 2260, 31408, 271, 39676]","[204, 18, 94]"
 Peale ran a museum of curiosities, housed in Philosoph,"[2562, 895, 6328, 241, 9427, 275, 14743, 827]","[29693, 272, 21983]"
" variant, the B @-",@ 57,"[16066, 204, 23, 248, 341, 204, 43, 24]","[43, 204, 5831]"
’ s Republic of China in 194,"9,","[329, 247, 5020, 275, 3603, 272, 204, 5387]","[36, 204, 23]"
 This reach of the Colorado River is also, well known for,"[735, 3665, 275, 248, 9651, 6074, 304, 614]","[779, 2245, 312]"
 than the soft fleece. The fleece, may also be,"[661, 248, 1937, 44554, 204, 25, 390, 44554]","[724, 614, 314]"
 from mafic and ultramaf,ic rock ,"[427, 266, 1622, 276, 273, 32295, 311, 1622]","[276, 4375, 204]"
 Assistant Director Brad Follmer (, Cary Elwes,"[12453, 5348, 12043, 378, 685, 688, 204, 19]","[56571, 2346, 61842]"
 The book's coauthor John, Cook won the,"[390, 1204, 204, 18, 94, 739, 10106, 2345]","[7978, 2107, 248]"
 mini art book and a survival pouch it, contains three iron,"[8228, 1076, 1204, 273, 241, 11461, 32724, 334]","[5153, 1373, 6657]"
 1911 to 1919 ,. From ,"[204, 6474, 28, 271, 204, 6474, 36, 204]","[25, 3314, 204]"
" the Hero, and the Hero receives", the Sacred Am,"[248, 19563, 204, 23, 273, 248, 19563, 14422]","[248, 36776, 1731]"
 reported to have settled in a white mist, onto some of,"[3713, 271, 413, 11641, 272, 241, 2612, 4621]","[4817, 596, 275]"
"ez, and Scarlet Rivera,", whom Dylan discovered,"[5354, 204, 23, 273, 57853, 45563, 204, 23]","[6088, 25781, 6524]"
 of enlarging the adjacent Bloudk,ova velik,"[275, 18503, 263, 248, 18766, 1282, 2325, 86]","[9208, 8578, 807]"
" ; despite escaping the disease,", they are unable,"[204, 38, 5643, 37555, 248, 3783, 204, 23]","[506, 362, 7759]"
", his heir and married her to", Geoffrey of An,"[204, 23, 545, 36692, 273, 6143, 573, 271]","[59198, 275, 1060]"
"lap, larger in males than females",", originates from","[33400, 204, 23, 4840, 272, 14702, 661, 15688]","[204, 23, 55311, 427]"
 of Croydon North West in ,1981 and ,"[275, 10167, 3499, 245, 3082, 3431, 272, 204]","[2747, 28, 273, 204]"
"'s orders, had hurried to", the waterfront accompanied by,"[18, 94, 6680, 204, 23, 618, 28388, 271]","[248, 39024, 13998, 431]"
's photosphere is completely covered, by the Moon ,"[204, 18, 94, 1776, 7723, 304, 3259, 5178]","[431, 248, 11276, 204]"
", the fossil skeleton was preserved with a", coat of filamentous,"[23, 248, 20582, 38012, 398, 22161, 335, 241]","[10158, 275, 61212, 498]"
"es, both ctenophores", and cnidarians,"[255, 204, 23, 1216, 253, 1058, 2779, 2092]","[273, 57270, 300, 16527]"
 and was as a result forced to pull, out of the following,"[273, 398, 345, 241, 1226, 6584, 271, 3109]","[495, 275, 248, 1863]"
 release : on LP in 197,"6, on","[3586, 204, 37, 313, 22618, 272, 204, 3344]","[33, 204, 23, 313]"
"'s Cradle, John",'s original,"[204, 18, 94, 4309, 36677, 204, 23, 2345]","[204, 18, 94, 3086]"
" on April 19, 200",4. B,"[313, 3242, 204, 660, 204, 23, 204, 853]","[31, 204, 25, 341]"
 Herbst shipped out on February 20,", 194","[2783, 12031, 15453, 495, 313, 4286, 204, 423]","[204, 23, 204, 5387]"
": "" grabbed my binoculars and looking", cautiously over the parap,"[37, 204, 13, 14210, 491, 61841, 273, 1617]","[43345, 648, 248, 31147]"
 Amazigh Culture ( IRCAM, ) in ,"[1731, 846, 712, 13942, 204, 19, 54421, 2701]","[204, 20, 272, 204]"
", he was a bit cumbersome ",. But look closer,"[204, 23, 332, 398, 241, 1673, 50559, 204]","[25, 1094, 706, 6439]"
 naval historian Siegfried Breyer ,", a sister ship","[33528, 29711, 60305, 33942, 341, 4719, 246, 204]","[23, 241, 6217, 5938]"
 but other items include ice cream sunda,es and tres le,"[480, 599, 3139, 1965, 5481, 5433, 32702, 76]","[255, 273, 19182, 417]"
" Baltic Sea, action was largely limited", to the raiding,"[42992, 9519, 204, 23, 2696, 398, 9540, 3991]","[271, 248, 1026, 3384]"
@-@ la @-@, Tonuatua,"[43, 24, 43, 572, 204, 43, 24, 43]","[17250, 96, 249, 4951]"
"ite, Kleiser @-",@ Walczak,"[521, 204, 23, 15402, 5726, 204, 43, 24]","[43, 6886, 4135, 452]"
 disturbance west of Kiribati on July, 12.,"[39265, 9158, 275, 17658, 518, 4192, 313, 3313]","[204, 928, 204, 25]"
 offensive to Muslims. In October ,"2012,","[12750, 271, 16638, 204, 25, 529, 3692, 204]","[626, 29, 204, 23]"
k Sienkiewicz in With Fire, and Sword (,"[86, 302, 1423, 86, 55731, 272, 1743, 5848]","[273, 35989, 204, 19]"
 eleven principal centres of worship of Khand,oba or jagrut,"[24542, 9212, 19530, 275, 12097, 275, 531, 4626]","[19230, 379, 14357, 33586]"
 be buried in his own Greek traditional uniform,. Α,"[314, 15738, 272, 545, 946, 10111, 4163, 10416]","[204, 25, 8542, 223]"
 round. His first start came on, 18 August ,"[3369, 204, 25, 2591, 772, 910, 2001, 313]","[204, 1121, 3333, 204]"
 conducted by head priest Nagayoshi Mats,udaira.,"[7819, 431, 1319, 16323, 17814, 316, 26912, 36359]","[439, 48378, 204, 25]"
 during the 1957 – ,58 Sheffield Shield season,"[1365, 248, 204, 5021, 34, 204, 600, 204]","[5768, 42765, 22452, 2120]"
 the Bahá 'í Faith and, Falun Gong ,"[248, 16789, 942, 204, 18, 859, 16897, 273]","[17028, 369, 53925, 204]"
 had already begun to develop ideas for the, second Kingdom Hearts game,"[618, 1775, 13077, 271, 1128, 3318, 312, 248]","[1459, 9721, 35826, 1404]"
 latter award being given while beating Persona, 4 Golden ,"[9439, 5025, 1003, 2132, 1093, 16124, 5639, 76]","[204, 31, 10949, 204]"
", Bangando, Bakwe",le and Zime,"[204, 23, 9772, 2652, 204, 23, 20649, 698]","[274, 273, 1193, 512]"
 Bastnäsite is usually lacking in, thorium and the,"[28752, 89, 1066, 9335, 304, 2767, 17937, 272]","[39066, 1509, 273, 248]"
 goal down. Dyer retired from," football, having","[3481, 901, 204, 25, 361, 5799, 13621, 427]","[6130, 204, 23, 1728]"
 30 varieties of loose leaf teas ,", fair @","[204, 1067, 15955, 275, 10636, 11876, 23032, 204]","[23, 3488, 204, 43]"
 Central Committee was 173. Immediately, after the 8,"[6253, 6628, 398, 204, 21171, 204, 25, 40326]","[852, 248, 204, 35]"
mi was more responsive to his fellow athletes, than to the media,"[7392, 398, 520, 18077, 271, 545, 8118, 12634]","[661, 271, 248, 2398]"
@-@ meter freestyle relay for the, winning U.S,"[43, 24, 43, 16470, 59238, 28287, 312, 248]","[6336, 493, 25, 62]"
", who mentioned during documented unofficial talks",", that he","[204, 23, 569, 4708, 1365, 18035, 45344, 9210]","[204, 23, 325, 332]"
 Nikki revealed that Brie was rooting for, Team Johnny in the,"[48036, 7436, 325, 341, 3154, 398, 45694, 312]","[5888, 20233, 272, 248]"
 means it is a true work of art,", and demands","[1877, 334, 304, 241, 2031, 633, 275, 1076]","[204, 23, 273, 9887]"
. Its early admirers included Ludwig, van Beethoven and Johannes,"[204, 25, 6054, 2304, 18716, 2439, 3345, 50313]","[2431, 50794, 273, 34880]"
 company had parliamentary permission to build a deep, @-@,"[1438, 618, 38893, 9834, 271, 1398, 241, 2845]","[204, 43, 24, 43]"
 author. In an attempt to put, to rest such speculation,"[2402, 204, 25, 529, 267, 3537, 271, 1340]","[271, 1297, 963, 24934]"
 of an expected range contraction caused by loss, of Arctic sea ice,"[275, 267, 3463, 2393, 37201, 5229, 431, 2690]","[275, 25900, 5426, 5481]"
" strings expanded, and the woodwind"," section reduced,","[15915, 11658, 204, 23, 273, 248, 3616, 8723]","[3638, 6511, 204, 23]"
" "" mad scientist "" stereotype ",. In 199,"[204, 13, 7824, 18887, 204, 13, 48253, 204]","[25, 529, 204, 1840]"
 as building the approach roads and purchasing land, brought the total cost,"[345, 2526, 248, 3213, 11083, 273, 9992, 2168]","[3867, 248, 2724, 1458]"
 Canopus in Argos series in L,ocus magazine said The,"[1853, 27450, 272, 1118, 17918, 2559, 272, 393]","[1749, 9267, 746, 390]"
"'s live version of """, I 'll,"[204, 18, 94, 1929, 2684, 275, 204, 13]","[295, 204, 18, 567]"
 collected from the seats near the focal point, and from Frank ,"[8351, 427, 248, 10628, 2578, 248, 23376, 1151]","[273, 427, 6425, 204]"
phoon Thad was first classified on, August 15 ,"[747, 2227, 526, 308, 398, 772, 15621, 313]","[3333, 204, 1030, 204]"
 Teaneck include Teaneck Road,", Queen Anne","[1429, 1577, 643, 1965, 1429, 1577, 643, 5341]","[204, 23, 8971, 13251]"
 – 0 lead. After, his first attempt was,"[204, 600, 204, 27, 1210, 204, 25, 2539]","[545, 772, 3537, 398]"
 to begin the first of seven 23, @.@,"[271, 2145, 248, 772, 275, 5144, 204, 1871]","[204, 43, 25, 43]"
" apparent, to no avail."," Leopold I,","[6487, 204, 23, 271, 658, 26112, 204, 25]","[62337, 295, 204, 23]"
" shaken during an interrogation, and required", surgery for removal of,"[41634, 1365, 267, 53951, 204, 23, 273, 2554]","[6704, 312, 9894, 275]"
. The genre's relaxing, nature resulted in it,"[204, 25, 390, 12042, 204, 18, 94, 14712]","[3415, 11717, 272, 334]"
. Development tools were made available for, Max Payne 2,"[204, 25, 5395, 3435, 646, 1021, 1433, 312]","[6275, 48666, 204, 29]"
", The Hollywood Reporter was "" in", a death spiral ,"[23, 390, 11332, 40368, 398, 204, 13, 272]","[241, 2787, 27479, 204]"
 average ( ERA ) and was, named the National League,"[3608, 204, 19, 32571, 204, 20, 273, 398]","[5200, 248, 2926, 7036]"
" at Louisbourg, returned to New", England in a prisoner,"[388, 7158, 27943, 204, 23, 5887, 271, 1184]","[6118, 272, 241, 29119]"
 spent anything from 3 to 19, days in Solitary,"[4190, 2087, 427, 204, 30, 271, 204, 660]","[1522, 272, 5364, 23826]"
" project, but that was all him",". ""","[1441, 204, 23, 480, 325, 398, 455, 801]","[204, 25, 204, 13]"
 during 1188 and 1189, along with Dorset,"[1365, 204, 15711, 35, 273, 204, 15711, 36]","[1858, 335, 56746, 289]"
" related genus Peziza, or are considered synonymous with S. coronaria",.,"[3236, 41627, 2562, 101, 12458, 204, 23, 379, 362, 3558, 40048, 335, 302, 25, 21333, 7218]","[204, 25]"
", / -jə / ), officially the Commonwealth", of Australia,"[23, 204, 26, 204, 24, 85, 61112, 204, 26, 204, 20, 204, 23, 11837, 248, 25272]","[275, 5403]"
" 106, which, while he was still living, was named", seabor,"[204, 13601, 204, 23, 585, 204, 23, 1093, 332, 398, 1102, 2633, 204, 23, 398, 5200]","[385, 2181]"
 7 : 40 and returning from Oslo at 18 : ,00 ,"[204, 34, 204, 37, 204, 1738, 273, 10169, 427, 44539, 388, 204, 1121, 204, 37, 204]","[527, 204]"
cher Parkway to be widened west of NY 27 to accommodate a carpool and, bus lane,"[4123, 42496, 271, 314, 37612, 9158, 275, 6577, 204, 2102, 271, 13973, 241, 953, 11304, 273]","[964, 18001]"
 Moving Picture News referred to the film as an example of a problematic use of the, United States,"[22250, 21807, 3920, 8659, 271, 248, 2675, 345, 267, 1945, 275, 241, 21793, 745, 275, 248]","[2522, 2941]"
" 64 @,@ 000, with the Patrolmen '",s Bene,"[204, 3306, 204, 43, 23, 43, 204, 1321, 204, 23, 335, 248, 33934, 3279, 204, 18]","[94, 43550]"
u was the most successful female Indonesian music group of the 2000s ,. Aside,"[96, 398, 248, 758, 4063, 5808, 37259, 2298, 1408, 275, 248, 204, 853, 27, 94, 204]","[25, 29150]"
" the band had ceased recording for the time being. However, the band", resumed recording,"[248, 4129, 618, 34648, 9321, 312, 248, 601, 1003, 204, 25, 2071, 204, 23, 248, 4129]","[38199, 9321]"
 matters than just the usual issues of taxation. The business of the parliament focused, on enforcing,"[7031, 661, 645, 248, 7007, 2356, 275, 31413, 204, 25, 390, 1100, 275, 248, 18947, 5727]","[313, 43017]"
"2010, Flying Lotus released his third album Cosmogramma to critical acclaim", and mainstream,"[626, 27, 204, 23, 32679, 36596, 4171, 545, 2914, 5026, 64946, 18528, 1718, 271, 4751, 24296]","[273, 14808]"
" – 64 kg ), indicating that horse racing, hunting", and chasing,"[204, 600, 204, 3306, 13852, 204, 20, 204, 23, 17061, 325, 7097, 11421, 204, 23, 12675]","[273, 24579]"
 a year. There had been no thought before the war to using auxiliary forces, overseas ,"[241, 649, 204, 25, 1293, 618, 650, 658, 1465, 996, 248, 2694, 271, 1241, 43064, 6389]","[15127, 204]"
: / / www.cbcsports.ca. Universal Sports tele,casted,"[37, 204, 26, 204, 26, 32416, 25, 20613, 9603, 4298, 25, 4448, 25, 16457, 8020, 5498]","[2893, 269]"
il chalk. In 1911 about 280 acres ( 1, @,"[285, 28081, 204, 25, 529, 204, 6474, 28, 544, 204, 18322, 15567, 204, 19, 204, 28]","[204, 43]"
"axia, myasthenia gravis, Legg –", Calvé,"[941, 494, 204, 23, 491, 457, 473, 494, 2829, 3070, 204, 23, 1135, 1172, 204, 600]","[2480, 23982]"
"otaur heads were also improved to properly lip sync, although this was not", as successful,"[303, 2570, 8630, 646, 614, 6899, 271, 6008, 8367, 18362, 204, 23, 4424, 414, 398, 416]","[345, 4063]"
 become known as Vyasa – compiler of the Vedas and author of the, Puranas,"[1904, 2245, 345, 40136, 15012, 204, 600, 32501, 275, 248, 34216, 277, 273, 2402, 275, 248]","[10684, 12994]"
. 11 ( 1 ) of the Charter of Fundamental Rights and, Freedoms,"[25, 204, 1069, 204, 19, 204, 28, 204, 20, 275, 248, 27266, 275, 56014, 9796, 273]","[57779, 3702]"
" because the ala destroyed his vineyard. In another story, an al",a gets,"[875, 248, 339, 76, 11864, 545, 44265, 204, 25, 529, 1382, 1962, 204, 23, 267, 339]","[76, 3418]"
" diamond is mechanically and chemically stable, it can be used as an electrode under", conditions that,"[14450, 304, 54076, 273, 57497, 8567, 204, 23, 334, 418, 314, 1042, 345, 267, 47779, 813]","[3192, 325]"
" Cosmology. New York, NY : Thunder's Mouth", Press ,"[64946, 1303, 204, 25, 1184, 2798, 204, 23, 6577, 204, 37, 22482, 204, 18, 94, 45842]","[5418, 204]"
" descending to the street. However, the steps were changed to a terrace", in the,"[41246, 271, 248, 5564, 204, 25, 2071, 204, 23, 248, 4128, 646, 4148, 271, 241, 25670]","[272, 248]"
 in the United Kingdom on 3 July and worldwide on 10 July., The film,"[272, 248, 2522, 9721, 313, 204, 30, 3313, 273, 7782, 313, 204, 696, 3313, 204, 25]","[390, 2675]"
", and Sekolah Menengah Vokasional Miri.", Miri,"[23, 273, 40194, 315, 943, 6195, 1272, 943, 553, 1264, 277, 1187, 9194, 84, 204, 25]","[9194, 84]"
" Two R engines, R17 and R19, were built for Sir", Henry Se,"[5878, 382, 11996, 204, 23, 382, 1392, 273, 382, 660, 204, 23, 646, 3426, 312, 10584]","[9566, 1154]"
" studio session together, they finished "" Cool "" in 15 minutes",.,"[7882, 5171, 1774, 204, 23, 506, 5077, 204, 13, 12307, 204, 13, 272, 204, 1030, 2302]","[204, 25]"
" for humans, they can reduce growth rates in cattle and lower the milk output", of cows,"[312, 7305, 204, 23, 506, 418, 4084, 3047, 4214, 272, 19184, 273, 3089, 248, 6557, 5520]","[275, 25797]"
" @-@ known when it comes to optical lenses, and hence the", corresponding gravitational,"[204, 43, 24, 43, 2245, 635, 334, 1973, 271, 19443, 18499, 204, 23, 273, 12526, 248]","[11706, 53702]"
 represents the school in local and national competitions. They have won the national championship, almost every,"[8526, 248, 1473, 272, 1783, 273, 3432, 22397, 204, 25, 1176, 413, 2107, 248, 3432, 16485]","[2376, 759]"
 @-@ pit is a drydock @-@ like port, isolated from,"[204, 43, 24, 43, 7757, 304, 241, 3928, 79, 764, 204, 43, 24, 43, 606, 2043]","[13982, 427]"
" eastern parts of the island, and after a long siege captured Syracuse in ",878 ,"[16896, 3434, 275, 248, 7498, 204, 23, 273, 852, 241, 916, 44538, 12302, 39313, 272, 204]","[57346, 204]"
 Stories ; Booknotes : On American Character ; Booknotes :, Stories from,"[16547, 204, 38, 4131, 28775, 204, 37, 1440, 2281, 20839, 204, 38, 4131, 28775, 204, 37]","[16547, 427]"
" day, the JTWC discontinued advisories, and the IMD", downgraded,"[1002, 204, 23, 248, 462, 63, 24964, 39799, 8160, 1662, 204, 23, 273, 248, 295, 11722]","[901, 15896]"
", McVeagh, Bagnall and Macky. He", quickly developed,"[204, 23, 2925, 16139, 23204, 204, 23, 341, 2112, 436, 273, 20857, 100, 204, 25, 707]","[2976, 4027]"
"@ Files. It premiered on the Fox network on January 10,", 199,"[43, 21890, 204, 25, 605, 48164, 313, 248, 10685, 3041, 313, 3675, 204, 696, 204, 23]","[204, 1840]"
" of Steel, playing Martha Kent. Snyder said of her casting,"," ""","[275, 10188, 204, 23, 3133, 25012, 10611, 204, 25, 41729, 746, 275, 573, 19084, 204, 23]","[204, 13]"
 likely to evoke humorous response to the Jackson dashika as well as critical commentary about, the presentation,"[2486, 271, 48056, 36470, 3253, 271, 248, 8651, 12427, 7639, 345, 779, 345, 4751, 19154, 544]","[248, 7916]"
 which had been extended north from the District of Columbia in 1928., Continuing to,"[585, 618, 650, 7614, 6775, 427, 248, 6714, 275, 12360, 272, 204, 6182, 35, 204, 25]","[44316, 271]"
" won ’ t lie to you, I have been talking to writers ",... I,"[2107, 204, 329, 240, 5504, 271, 299, 204, 23, 295, 413, 650, 3764, 271, 8898, 204]","[951, 295]"
". A jury composed of seven men and five women was assembled, their", identities were,"[204, 25, 317, 15594, 14252, 275, 5144, 1658, 273, 2505, 1920, 398, 21308, 204, 23, 525]","[26711, 646]"
" approved in 1934, under the supervision of CORF ( Commission", d ,"[6984, 272, 204, 6128, 31, 204, 23, 813, 248, 19555, 275, 30855, 49, 204, 19, 5935]","[265, 204]"
"io in Moscow, Pacelli worked also on diplomatic arrangements between the Vatican and", the Soviet,"[752, 272, 18564, 204, 23, 8013, 9452, 3320, 614, 313, 28143, 14189, 1192, 248, 35282, 273]","[248, 16023]"
""" reflexive opposition "" to inflation, The Economist noted that his views", are increasingly,"[13, 24345, 422, 11632, 204, 13, 271, 11098, 204, 23, 390, 51449, 6674, 325, 545, 5209]","[362, 9064]"
", while de Firmian continues by 5.Nf3 Bb7", 6,"[23, 1093, 336, 18597, 715, 5758, 431, 204, 32, 25, 57, 81, 30, 341, 77, 34]","[204, 33]"
 detail of his works were held in his memory. He travelled with a personal, valet and,"[3730, 275, 545, 2027, 646, 3053, 272, 545, 4970, 204, 25, 707, 29678, 335, 241, 1890]","[61725, 273]"
 NY 149 were constructed over the course of the next decade. In ,1911,"[6577, 204, 18224, 646, 13027, 648, 248, 1668, 275, 248, 1407, 8561, 204, 25, 529, 204]","[6474, 28]"
's plan to destroy the castle. Beauty and the Beast : Belle, ',"[18, 94, 1353, 271, 7183, 248, 17450, 204, 25, 15805, 273, 248, 29238, 204, 37, 27964]","[204, 18]"
 by the Disciplinary Committee of the French Football Federation ( FFF ), in response,"[431, 248, 3219, 17813, 6628, 275, 248, 5063, 13750, 18353, 204, 19, 378, 5164, 204, 20]","[272, 3253]"
". At the height of the storm, a total of 270 residents sought", refuge in,"[25, 1570, 248, 5518, 275, 248, 7695, 204, 23, 241, 2724, 275, 204, 18003, 6127, 10754]","[11903, 272]"
"ated, leaving his wife Kathleen, and three sons. His son", John ,"[522, 204, 23, 5391, 545, 4162, 43137, 204, 23, 273, 1373, 14566, 204, 25, 2591, 1990]","[2345, 204]"
" that Peter will not forgive him. However, Olivia learns Peter '",s whereabouts,"[325, 6922, 451, 416, 19823, 801, 204, 25, 2071, 204, 23, 28475, 29009, 6922, 204, 18]","[94, 55584]"
 could be faster. The Bureau of Ships then considered and discarded designs that would, move these,"[765, 314, 6104, 204, 25, 390, 14549, 275, 53178, 832, 3558, 273, 34208, 7006, 325, 631]","[1822, 783]"
 choir in Joseph's Hymn for Whitsuntide while the audience, stood in,"[32685, 272, 9559, 204, 18, 94, 370, 59596, 312, 882, 871, 2428, 456, 1093, 248, 5111]","[6838, 272]"
 left on their tables. By the second pre @-@ chorus ,", several","[1786, 313, 525, 6600, 204, 25, 2702, 248, 1459, 634, 204, 43, 24, 43, 32161, 204]","[23, 1988]"
" a cocaine kicker "", Mars said that his inspiration came "" just", because the,"[241, 33924, 63870, 204, 13, 204, 23, 12482, 746, 325, 545, 8524, 2001, 204, 13, 645]","[875, 248]"
 the 1979 Cricket World Cup. They were generally regarded as the best, team at,"[248, 204, 3344, 36, 32777, 2889, 8067, 204, 25, 1176, 646, 4701, 15475, 345, 248, 935]","[1255, 388]"
 a long @-@ held belief that Mars contained vast seas and vegetation ,. The,"[241, 916, 204, 43, 24, 43, 3053, 9599, 325, 12482, 10837, 7298, 23317, 273, 29239, 204]","[25, 390]"
" Decimal Classification Committee of the Lake Placid Club Education Foundation, and the", editorial body,"[4835, 2699, 39185, 6628, 275, 248, 6215, 1270, 42073, 5488, 5448, 6280, 204, 23, 273, 248]","[18315, 1691]"
 over 400 eateries are located throughout the stadium. A bronze statue of, Steelers founder,"[648, 204, 5088, 36215, 424, 362, 3890, 3151, 248, 18963, 204, 25, 317, 23437, 21672, 275]","[40177, 11660]"
" he attempted to make squadmates intelligently follow orders and provide assistance, instead of", merely ,"[332, 13989, 271, 717, 14411, 11920, 61711, 1122, 6680, 273, 1586, 6163, 204, 23, 3002, 275]","[9040, 204]"
 Gaza's Templars to assist him against an Egypt @-@, based Ay,"[31136, 204, 18, 94, 61897, 1099, 271, 2678, 801, 1542, 267, 9878, 204, 43, 24, 43]","[1934, 14739]"
" Paynes Prairie State Preserve. By 1989, however,", these three,"[5350, 2909, 37901, 2683, 57469, 204, 25, 2702, 204, 2747, 36, 204, 23, 2537, 204, 23]","[783, 1373]"
" to maximise course offerings with optimum funding usage. 10 @,@", 000,"[271, 47995, 1668, 14526, 335, 24696, 6096, 8768, 204, 25, 204, 696, 204, 43, 23, 43]","[204, 1321]"
's work alongside travelling exhibitions. Manchester Art Gallery is a major provincial, art gallery noted,"[204, 18, 94, 633, 9381, 17085, 27818, 204, 25, 14637, 2818, 11730, 304, 241, 2084, 25851]","[1076, 12734, 6674]"
( Dr. Dre ) 187um Killa features several guest vocalists,", including","[19, 2609, 25, 33875, 204, 20, 204, 10661, 381, 531, 4382, 2360, 1988, 7749, 15189, 1351]","[204, 23, 1497]"
phalograph ( EEG ) or electrocorticograph ( E,CoG ,"[24581, 2111, 204, 19, 399, 28568, 204, 20, 379, 13823, 78, 34735, 2111, 204, 19, 399]","[5775, 50, 204]"
 allow Red Star to hire non @-@ American crews at lower cost ,. She made,"[1708, 3509, 5575, 271, 8690, 1462, 204, 43, 24, 43, 2281, 28405, 388, 3089, 1458, 204]","[25, 1261, 1021]"
" the most powerful being in the world. However, Aladdin points", out the Genie,"[248, 758, 4452, 1003, 272, 248, 1079, 204, 25, 2071, 204, 23, 1031, 2208, 242, 2705]","[495, 248, 52064]"
omenclature. Stop names are not standardized : two otherwise identical stops, from different organs,"[3330, 539, 1235, 204, 25, 13820, 4495, 362, 416, 28675, 204, 37, 847, 5259, 12840, 12073]","[427, 1104, 20366]"
" were exposed to performances by Amrita Arora, Shamita Shetty ",", Dia Mir","[646, 9182, 271, 11928, 431, 1731, 64023, 1118, 3511, 204, 23, 42906, 3368, 1261, 62992, 204]","[23, 35256, 9194]"
. The brigade served as a test bed for new concepts involving the employment of attack, helicopters on the,"[25, 390, 53746, 5410, 345, 241, 1318, 2328, 312, 627, 9592, 10121, 248, 8093, 275, 3033]","[46415, 313, 248]"
 the fourteenth century at both sites and the Dunmow flitch is referred, to in Chau,"[248, 1855, 28835, 5594, 388, 1216, 3370, 273, 248, 19063, 88, 307, 738, 2371, 304, 8659]","[271, 272, 51439]"
ians such as John Duns Scotus ( d. 1308, ) and,"[3112, 963, 345, 2345, 361, 6948, 9851, 359, 204, 19, 265, 204, 25, 204, 9101, 35]","[204, 20, 273]"
" that the organ has "" a luxuriousness of tone "" and """, a range of,"[325, 248, 1380, 504, 204, 13, 241, 18447, 1123, 275, 8352, 204, 13, 273, 204, 13]","[241, 2393, 275]"
", made a final decision on the British landing site, selecting L '",Anse ,"[23, 1021, 241, 2297, 3241, 313, 248, 5282, 12435, 1692, 204, 23, 14007, 393, 204, 18]","[1821, 321, 204]"
""" The Little Twentieth "" ), a children's", supplement to Le,"[13, 390, 8527, 2590, 30136, 204, 13, 204, 20, 204, 23, 241, 1770, 204, 18, 94]","[7493, 271, 1135]"
" Equestrian, Bedouin, Glam – Punk ",", and Disco","[399, 4019, 5390, 204, 23, 8278, 254, 242, 204, 23, 2477, 311, 204, 600, 33915, 204]","[23, 273, 63263]"
" when Mrs. Krabappel suggests that he take another test, he immediately", procrastinates ,"[635, 8991, 25, 531, 4312, 58761, 8305, 325, 332, 980, 1382, 1318, 204, 23, 332, 4193]","[41903, 11950, 204]"
", Ōita ) and Beppu, Ōita",". 
","[204, 23, 3316, 218, 3368, 204, 20, 273, 1323, 364, 96, 204, 23, 3316, 218, 3368]","[204, 25, 4610]"
" Special Assistant to the President for Science and Technology, formed the Panel on Se",ismic Improvement ,"[6155, 12453, 271, 248, 3503, 312, 5226, 273, 6391, 204, 23, 8467, 248, 16147, 313, 1154]","[41912, 25076, 204]"
 was less complimentary. After examining the garrison company's drill in, artillery and infantry,"[398, 1499, 20245, 204, 25, 2539, 22346, 248, 294, 37476, 1438, 204, 18, 94, 19065, 272]","[38084, 273, 44508]"
" not pass completely unnoticed, as certain commentators issued statements regarding the issue in the", days following the,"[416, 1285, 3259, 44640, 204, 23, 345, 1714, 48826, 7808, 9247, 4451, 248, 2645, 272, 248]","[1522, 1863, 248]"
izard in its stomach contents ( NIGP 127587 ) also, had several small,"[14044, 272, 701, 9792, 11380, 204, 19, 409, 4223, 59, 204, 14994, 50384, 204, 20, 614]","[618, 1988, 1385]"
" "" dour musings on faith and religion "" have marked it as"," "" one","[204, 13, 265, 377, 1454, 621, 313, 4921, 273, 8271, 204, 13, 413, 9673, 334, 345]","[204, 13, 532]"
" floater, Penfold stated that he found the variety of tasks he performed"," "" valuable","[5298, 687, 204, 23, 8426, 14801, 6293, 325, 332, 1217, 248, 3451, 275, 6784, 332, 6016]","[204, 13, 7085]"
" highest ranked is former Secretary of Veteran Affairs Eric Shinseki, who was", a four ,"[5123, 13742, 304, 3734, 10383, 275, 42827, 13936, 10986, 1077, 20800, 3090, 204, 23, 569, 398]","[241, 1855, 204]"
" Persian, Malayalam, Punjabi, Pashto,", Bengali ,"[34760, 204, 23, 50504, 30920, 204, 23, 29774, 18258, 204, 23, 14281, 389, 90, 204, 23]","[19625, 5748, 204]"
. A key component of this program would be the reconstruction of all seven RTL, Turboliner,"[25, 317, 1999, 7057, 275, 414, 1283, 631, 314, 248, 26384, 275, 455, 5144, 15068, 55]","[6098, 4016, 4486]"
" somersaults, as he lip @-@ synced most", of the song,"[1011, 358, 2231, 94, 204, 23, 345, 332, 8367, 204, 43, 24, 43, 8376, 1120, 758]","[275, 248, 3172]"
" ( Steadfast Defence ), but he was unable to influence", the course of,"[204, 19, 2128, 308, 5507, 30619, 204, 20, 204, 23, 480, 332, 398, 7759, 271, 5943]","[248, 1668, 275]"
" next day, age 77, at his villa in Meudon",", Î","[1407, 1002, 204, 23, 2521, 204, 5472, 204, 23, 388, 545, 26558, 272, 2054, 439, 245]","[204, 23, 53104]"
", who directed the film, was himself not satisfied, posting a message", on Twitter stating,"[23, 569, 9009, 248, 2675, 204, 23, 398, 3448, 416, 10722, 204, 23, 9398, 241, 3443]","[313, 5174, 18095]"
